#{"t_start": 1762492845.3286524, "env_id": "None"}
r,l,t
-8.548967,18,0.760395
-9.61474,19,0.820976
-9.112052,19,0.879452
-8.355639,18,0.936497
-7.844135,18,0.992392
-7.198138,18,1.0482
-9.859953,20,1.109667
-8.380128,18,1.16572
-6.638756,18,1.22111
-10.723451,20,1.282339
-9.112559,19,1.341345
-8.016729,18,1.396965
-8.619798,19,1.456232
-8.62982,19,1.514885
-9.539964,19,1.574003
-8.73264,18,1.629144
-7.77594,18,1.68438
-7.292698,18,1.74036
-8.092513,18,1.79635
-7.562011,19,1.854739
-6.667566,18,1.910713
-8.314709,18,1.967179
-7.751802,18,2.023497
-8.624901,20,2.085132
-7.177435,18,2.141579
-7.948699,18,2.197608
-7.840484,20,2.259241
-7.090844,19,2.317731
-8.332207,19,2.377221
-8.244851,18,2.433459
-7.58837,18,2.488822
-8.683478,18,2.544166
-7.180947,18,2.600561
-7.773525,19,11.505537
-8.995301,19,11.564316
-7.072626,18,11.619413
-8.390879,18,11.675197
-6.314536,18,11.730332
-8.748726,18,11.785822
-8.472324,18,11.841562
-9.840883,19,11.900403
-8.783435,18,11.956264
-9.407015,19,12.014878
-8.89988,19,12.073406
-7.485752,18,12.129271
-6.933644,18,12.184608
-9.282309,19,12.243085
-7.405209,19,12.302301
-7.80531,18,12.358363
-8.060487,18,12.413261
-7.682981,19,12.471795
-6.66867,19,12.53097
-6.603085,18,12.586333
-7.398449,19,12.64454
-7.660542,18,12.700399
-7.689019,18,13.544765
-8.497022,18,13.601045
-7.723478,18,13.657636
-7.881744,18,13.714759
-8.07512,18,13.771125
-7.813887,19,13.83063
-8.856924,19,13.890238
-7.29331,17,13.9436
-7.713695,18,14.000148
-6.363043,17,14.053663
-6.954506,19,14.113293
-7.971821,18,14.169733
-8.971196,19,14.561857
-8.609801,18,14.61808
-8.387314,18,14.674108
-6.808313,17,14.727575
-5.377903,17,14.780674
-9.078642,19,14.839764
-7.938027,18,14.895451
-7.261009,19,14.954784
-8.401492,18,15.010937
-7.969189,18,15.066955
-8.474044,18,15.123713
-7.914312,18,15.180214
-9.196831,18,15.237064
-9.128696,19,15.296555
-7.449074,19,15.356202
-7.172908,17,15.409295
-6.65135,18,15.465416
-7.736063,18,15.522017
-8.030274,18,15.578188
-7.595247,18,15.634016
-6.309413,18,15.689904
-8.354684,18,15.747015
-8.893919,19,15.80603
-7.98191,18,15.861954
-6.44855,18,15.918519
-8.123847,19,15.978163
-9.081836,19,16.03736
-6.902608,18,16.093391
-8.140713,18,16.150186
-6.761945,18,16.206754
-9.934257,19,16.265779
-7.237118,18,16.321738
-8.685077,19,16.38103
-12.429175,19,16.440346
-8.609471,18,16.496175
-8.143544,18,16.883897
-8.533692,19,16.944221
-7.684328,18,17.000806
-8.797027,19,17.060496
-6.230705,18,17.11684
-11.250964,18,17.1736
-9.431242,20,17.236291
-8.294051,19,17.295855
-8.579499,18,17.352457
-5.50975,18,18.130636
-6.336812,18,18.186932
-6.925237,18,18.242599
-8.501102,18,18.297912
-5.357053,18,18.354647
-7.950245,18,18.410344
-8.9609,18,18.465557
-8.58664,18,18.520842
-8.764899,19,18.580944
-8.435274,18,18.636443
-6.792746,18,18.692018
-8.905355,18,18.748271
-6.924112,19,18.807236
-8.339644,19,18.865819
-8.424333,19,18.924258
